"net.c","V2","V5","V7"
0.0575266143266464,0.105710325250642,0.0450124980429109,0.0248700839722029
0.115347067435441,0.213641837720392,0.00921921643346047,0.0232306514600036
0.134620551805039,0.256043503333508,0.0461557310958733,0.0210153870982832
0.153894036174638,0.292663123635745,0.00805917113935598,0.0210153870982832
0.192441004913834,0.375539106425017,0.00418674940553583,0.0233915665519448
0.250261458022629,0.485397967331727,0.0232809828731114,0.0210153870982832
0.269534942392227,0.525872284507884,0.0246078897458365,0.0210153870982832
0.34662887987062,0.681987507901629,0.0494341199688404,0.0210153870982832
0.365902364240218,0.724389173514745,0.0437011425014334,0.0210153870982832
0.481543270457808,0.955670985949924,3.97275852977419e-05,0.0210153870982832
0.500816754827406,1,0.00779017512689425,0.0210153870982832
0.442996301718611,0.870867654723692,0.00513383952310811,0.0210153870982832
0.308081911131423,0.601038873549317,0.0206296909474499,0.0210153870982832
0.0768000986962447,0.142329945552879,0.0117376915789326,0.0210153870982832
0.0960735830658429,0.178949565855115,0.0494341199688404,0.0210153870982832
