net.c,V2,V3,V4,V5,V6,V7
0.0382531299570482,0.0613813112005661,0.00762520884490603,0.00762520884490603,0.0076893016222211,0.00760408772723082,0.0210153870982832
0.0575266143266464,0.105710325250642,0.0446789354530678,0.0446789354530678,0.0450124980429109,0.0447053509390789,0.0248700839722029
0.0960735830658429,0.184731611165995,0.00532186909251798,0.00532186909251798,0.00536921103401213,0.00529779300276619,0.0210153870982832
0.115347067435441,0.213641837720392,0.00914407782951834,0.00914407782951834,0.00921921643346047,0.00912490528038638,0.0232306514600036
0.134620551805039,0.256043503333508,0.0458139144628876,0.0458139144628876,0.0461557310958733,0.0458417860220958,0.0210153870982832
0.153894036174638,0.292663123635745,0.00799240794368757,0.00799240794368757,0.00805917113935598,0.00797175790851733,0.0210153870982832
0.192441004913834,0.375539106425017,0.00414794471176365,0.00414794471176365,0.00418674940553583,0.00412236259194322,0.0233915665519448
0.230987973653031,0.444923650155571,0.0171323271720304,0.0171323271720304,0.0172655595849102,0.0171234028356484,0.0210153870982832
0.250261458022629,0.485397967331727,0.0231043196869206,0.0231043196869206,0.0232809828731114,0.0231030568689512,0.0210153870982832
0.269534942392227,0.525872284507884,0.0244216464236846,0.0244216464236846,0.0246078897458365,0.0244220736204656,0.0210153870982832
0.327355395501022,0.645367887599393,0.0429514306339584,0.0429514306339584,0.0432724301113909,0.0429756298812753,0.0210153870982832
0.34662887987062,0.681987507901629,0.0490686337046148,0.0490686337046148,0.0494341199688404,0.0491006807678443,0.0210153870982832
0.365902364240218,0.724389173514745,0.0433770477602316,0.0433770477602316,0.0437011425014334,0.0434017930446342,0.0210153870982832
0.462269786088209,0.917124017210728,0.05531101826826,0.05531101826826,0.055721901702313,0.0553510737533474,0.0210153870982832
0.481543270457808,0.955670985949924,3.08639796649444e-05,3.08639796649444e-05,3.97275852977419e-05,0,0.0210153870982832
0.500816754827406,1,0.0077253540624253,0.0077253540624253,0.00779017512689425,0.00770436142179691,0.0210153870982832
0.442996301718611,0.870867654723692,0.00508819694400431,0.00508819694400431,0.00513383952310811,0.00506382105520316,0.0210153870982832
0.308081911131423,0.601038873549317,0.0204721698197388,0.0204721698197388,0.0206296909474499,0.020467530210214,0.0210153870982832
0.0768000986962447,0.142329945552879,0.0116443698301786,0.0116443698301786,0.0117376915789326,0.0116284049285034,0.0210153870982832
0.0960735830658429,0.178949565855115,0.0490686337046148,0.0490686337046148,0.0494341199688404,0.0491006807678443,0.0210153870982832
